Student,Date,Trial,ID,Lifestage,Treatment,Leaf,AreaConsumed,BiomassConsumed
Ashley,7/26/2023,6,22,Neonate,Choice,Top,0,0
Ashley,7/26/2023,6,27,Neonate,Choice,Top,0,0
Kevin,9/27/19,4,9,Neonate,Choice,Top,0,0
Kevin,9/27/19,4,17,Neonate,Choice,Top,0,0
Kevin,9/27/19,1,13,Neonate,Choice,Top,0,0
Cody,9/27/19,3,8,Neonate,Choice,Top,0,0
Cody,9/27/19,3,9,Neonate,Choice,Top,0,0
Cody,9/27/19,3,14,Neonate,Choice,Top,0,0
Cody,9/27/19,3,18,Neonate,Choice,Top,0,0
Ashley,7/21/2023,5,21,Neonate,Choice,Bottom,0,0
Ashley,7/21/2023,5,22,Neonate,Choice,Bottom,0,0
Ashley,7/21/2023,5,23,Neonate,Choice,Bottom,0,0
Ashley,7/21/2023,5,26,Neonate,Choice,Bottom,0,0
Ashley,7/21/2023,5,27,Neonate,Choice,Bottom,0,0
Ashley,7/21/2023,5,29,Neonate,Choice,Bottom,0,0
Ashley,7/26/2023,6,21,Neonate,Choice,Bottom,0.0000,0
Ashley,7/26/2023,6,23,Neonate,Choice,Bottom,0.0000,0
Ashley,7/26/2023,6,24,Neonate,Choice,Bottom,0.0000,0
Ashley,7/26/2023,6,25,Neonate,Choice,Bottom,0.0000,0
Ashley,7/26/2023,6,26,Neonate,Choice,Bottom,0.0000,0
Ashley,7/26/2023,6,28,Neonate,Choice,Bottom,0.0000,0
Kevin,9/27/19,4,1,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,2,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,4,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,7,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,8,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,10,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,11,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,13,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,15,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,17,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,18,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,19,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,20,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,21,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,1,1,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,1,6,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,1,8,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,1,15,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,1,17,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,1,20,Neonate,Choice,Bottom,0,0
Cody,9/27/19,3,5,Neonate,Choice,Bottom,0,0
Cody,9/27/19,3,13,Neonate,Choice,Bottom,0,0
Cody,9/27/19,3,15,Neonate,Choice,Bottom,0,0
Cody,9/27/19,3,16,Neonate,Choice,Bottom,0,0
Cody,9/27/19,3,20,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,2,9,Neonate,Choice,Bottom,0.007,0
Kevin,9/27/19,2,7,Neonate,Choice,Top,0.01,0
Cody,9/27/19,3,7,Neonate,Choice,Top,0.01,0
Kevin,9/27/19,1,5,Neonate,Choice,Bottom,0.012,0
Kevin,9/27/19,1,18,Neonate,Choice,Bottom,0.013,0
Kevin,9/27/19,2,10,Neonate,Choice,Bottom,0.017,0.000100016
Kevin,9/27/19,2,8,Neonate,Choice,Bottom,0.019,0.000111783
Kevin,9/27/19,1,14,Neonate,Choice,Bottom,0.02,0.000117666
Kevin,9/27/19,1,2,Neonate,Choice,Bottom,0.021,0.000123549
Kevin,9/27/19,2,6,Neonate,Choice,Bottom,0.022,0.000129432
Kevin,9/27/19,2,1,Neonate,Choice,Top,0.029,0.000162977
Kevin,9/27/19,4,16,Neonate,Choice,Bottom,0.03,0.000176499
Cody,9/27/19,3,6,Neonate,Choice,Top,0.032,0.000179836
Kevin,9/27/19,1,19,Neonate,Choice,Bottom,0.04,0.000235332
Cody,9/27/19,3,10,Neonate,Choice,Bottom,0.04,0.000235332
Kevin,9/27/19,2,2,Neonate,Choice,Top,0.041,0.000230415
Kevin,9/27/19,1,11,Neonate,Choice,Bottom,0.041,0.000241215
Cody,9/27/19,3,18,Neonate,Choice,Bottom,0.041,0.000241215
Kevin,9/27/19,1,3,Neonate,Choice,Bottom,0.042,0.000247098
Kevin,9/27/19,1,16,Neonate,Choice,Bottom,0.046,0.000270631
Kevin,9/27/19,2,5,Neonate,Choice,Bottom,0.048,0.000282398
Kevin,9/27/19,1,12,Neonate,Choice,Bottom,0.059,0.000347114
Cody,9/27/19,3,6,Neonate,Choice,Bottom,0.07,0.00041183
Ashley,7/26/2023,6,26,Neonate,Choice,Top,0.071,0.000399011
Ashley,7/26/2023,6,22,Neonate,Choice,Bottom,0.0730,0.00042948
Kevin,9/27/19,1,12,Neonate,Choice,Top,0.076,0.000427111
Kevin,9/27/19,2,4,Neonate,Choice,Top,0.083,0.00046645
Cody,9/27/19,3,11,Neonate,Choice,Bottom,0.083,0.000488313
Ashley,7/26/2023,6,21,Neonate,Choice,Top,0.083,0.00046645
Ashley,7/26/2023,6,27,Neonate,Choice,Bottom,0.0840,0.000494197
Kevin,9/27/19,4,12,Neonate,Choice,Bottom,0.09,0.000529496
Kevin,9/27/19,4,3,Neonate,Choice,Bottom,0.104,0.000611862
Kevin,9/27/19,4,12,Neonate,Choice,Top,0.105,0.000590087
Kevin,9/27/19,4,5,Neonate,Choice,Bottom,0.105,0.000617746
Ashley,7/26/2023,6,28,Neonate,Choice,Top,0.112,0.000629426
Cody,9/27/19,3,7,Neonate,Choice,Bottom,0.119,0.000700112
Cody,9/27/19,3,12,Neonate,Choice,Top,0.12,0.000674386
Kevin,9/27/19,1,10,Neonate,Choice,Bottom,0.143,0.000841311
Kevin,9/27/19,4,15,Neonate,Choice,Top,0.144,0.000809263
Kevin,9/27/19,1,10,Neonate,Choice,Top,0.152,0.000854222
Ashley,7/26/2023,6,25,Neonate,Choice,Top,0.16,0.000899181
Cody,9/27/19,3,17,Neonate,Choice,Bottom,0.165,0.000970743
Ashley,7/26/2023,6,23,Neonate,Choice,Top,0.17,0.000955379
Ashley,7/26/2023,6,24,Neonate,Choice,Top,0.177,0.000994719
Kevin,9/27/19,1,7,Neonate,Choice,Bottom,0.183,0.001076643
Cody,9/27/19,3,22,Neonate,Choice,Bottom,0.193,0.001135476
Kevin,9/27/19,4,7,Neonate,Choice,Top,0.195,0.001095876
Kevin,9/27/19,4,8,Neonate,Choice,Top,0.196,0.001101496
Cody,9/27/19,3,9,Neonate,Choice,Bottom,0.2,0.001176659
Kevin,9/27/19,1,9,Neonate,Choice,Bottom,0.209,0.001229608
Kevin,9/27/19,1,13,Neonate,Choice,Bottom,0.21,0.001235491
Kevin,9/27/19,1,17,Neonate,Choice,Top,0.235,0.001320672
Cody,9/27/19,3,21,Neonate,Choice,Top,0.237,0.001331911
Kevin,9/27/19,4,21,Neonate,Choice,Top,0.246,0.00138249
Kevin,9/27/19,2,3,Neonate,Choice,Bottom,0.247,0.001453173
Kevin,9/27/19,1,7,Neonate,Choice,Top,0.259,0.001455549
Cody,9/27/19,3,21,Neonate,Choice,Bottom,0.262,0.001541423
Kevin,9/27/19,1,11,Neonate,Choice,Top,0.266,0.001494888
Kevin,9/27/19,2,9,Neonate,Choice,Top,0.269,0.001511748
Cody,9/27/19,3,19,Neonate,Choice,Bottom,0.271,0.001594372
Kevin,9/27/19,4,9,Neonate,Choice,Bottom,0.288,0.001694388
Cody,9/27/19,3,3,Neonate,Choice,Top,0.288,0.001618525
Kevin,9/27/19,4,13,Neonate,Choice,Top,0.291,0.001635385
Cody,9/27/19,3,22,Neonate,Choice,Top,0.294,0.001652245
Kevin,9/27/19,1,4,Neonate,Choice,Bottom,0.296,0.001741455
Kevin,9/27/19,4,3,Neonate,Choice,Top,0.31,0.001742163
Kevin,9/27/19,4,5,Neonate,Choice,Top,0.312,0.001753402
Kevin,9/27/19,1,15,Neonate,Choice,Top,0.312,0.001753402
Cody,9/27/19,3,17,Neonate,Choice,Top,0.319,0.001792742
Kevin,9/27/19,4,6,Neonate,Choice,Bottom,0.32,0.001882654
Cody,9/27/19,3,8,Neonate,Choice,Bottom,0.328,0.00192972
Cody,9/27/19,3,11,Neonate,Choice,Top,0.332,0.0018658
Kevin,9/27/19,1,18,Neonate,Choice,Top,0.338,0.001899519
Kevin,9/27/19,4,20,Neonate,Choice,Top,0.347,0.001950098
Kevin,9/27/19,4,16,Neonate,Choice,Top,0.348,0.001955718
Kevin,9/27/19,1,14,Neonate,Choice,Top,0.355,0.001995057
Kevin,9/27/19,1,16,Neonate,Choice,Top,0.355,0.001995057
Cody,9/27/19,3,13,Neonate,Choice,Top,0.356,0.002000677
Kevin,9/27/19,4,11,Neonate,Choice,Top,0.362,0.002034396
Kevin,9/27/19,1,8,Neonate,Choice,Top,0.366,0.002056876
Kevin,9/27/19,4,1,Neonate,Choice,Top,0.369,0.002073735
Kevin,9/27/19,4,4,Neonate,Choice,Top,0.377,0.002118695
Cody,9/27/19,3,14,Neonate,Choice,Bottom,0.383,0.002253301
Kevin,9/27/19,1,9,Neonate,Choice,Top,0.391,0.002197373
Kevin,9/27/19,1,1,Neonate,Choice,Top,0.411,0.00230977
Kevin,9/27/19,4,14,Neonate,Choice,Top,0.422,0.002371589
Cody,9/27/19,3,19,Neonate,Choice,Top,0.433,0.002433408
Cody,9/27/19,3,15,Neonate,Choice,Top,0.441,0.002478367
Cody,9/27/19,3,3,Neonate,Choice,Bottom,0.469,0.002759264
Kevin,9/27/19,1,3,Neonate,Choice,Top,0.48,0.002697542
Kevin,9/27/19,4,14,Neonate,Choice,Bottom,0.483,0.00284163
Kevin,9/27/19,1,6,Neonate,Choice,Top,0.507,0.002849279
Kevin,9/27/19,4,6,Neonate,Choice,Top,0.51,0.002866138
Cody,9/27/19,3,20,Neonate,Choice,Top,0.529,0.002972916
Cody,9/27/19,3,10,Neonate,Choice,Top,0.532,0.002989776
Kevin,9/27/19,2,4,Neonate,Choice,Bottom,0.534,0.003141678
Kevin,9/27/19,2,7,Neonate,Choice,Bottom,0.544,0.003200511
Cody,9/27/19,3,12,Neonate,Choice,Bottom,0.562,0.003306411
Kevin,9/27/19,2,3,Neonate,Choice,Top,0.574,0.003225811
Kevin,9/27/19,2,6,Neonate,Choice,Top,0.585,0.003287629
Kevin,9/27/19,4,2,Neonate,Choice,Top,0.586,0.003293249
Kevin,9/27/19,2,1,Neonate,Choice,Bottom,0.6,0.003529976
Kevin,9/27/19,2,5,Neonate,Choice,Top,0.605,0.003400027
Kevin,9/27/19,1,21,Neonate,Choice,Bottom,0.61,0.003588809
Kevin,9/27/19,2,2,Neonate,Choice,Bottom,0.618,0.003635875
Kevin,9/27/19,4,19,Neonate,Choice,Top,0.631,0.003546144
Kevin,9/27/19,1,19,Neonate,Choice,Top,0.65,0.003652922
Cody,9/27/19,3,5,Neonate,Choice,Top,0.65,0.003652922
Kevin,9/27/19,1,21,Neonate,Choice,Top,0.677,0.003804658
Kevin,9/27/19,2,8,Neonate,Choice,Top,0.706,0.003967635
Kevin,9/27/19,4,10,Neonate,Choice,Top,0.707,0.003973255
Cody,9/27/19,3,16,Neonate,Choice,Top,0.754,0.004237389
Kevin,9/27/19,4,18,Neonate,Choice,Top,0.832,0.00467574
Kevin,9/27/19,2,10,Neonate,Choice,Top,0.87,0.004889295
Kevin,9/27/19,1,2,Neonate,Choice,Top,0.939,0.005277067
Kevin,9/27/19,1,4,Neonate,Choice,Top,1.17,0.006575259
Ashley,7/21/2023,5,28,Neonate,Choice,Bottom,1.191,0.007007002
Ashley,7/21/2023,5,24,Neonate,Choice,Top,1.304,0.007328323
Kevin,9/27/19,1,5,Neonate,Choice,Top,1.624,0.009126684
Kevin,9/27/19,1,20,Neonate,Choice,Top,1.69,0.009497596
Ashley,7/21/2023,5,22,Neonate,Choice,Top,1.698,0.009542555
Ashley,7/21/2023,5,26,Neonate,Choice,Top,2.091,0.011751168
Ashley,7/21/2023,5,30,Neonate,Choice,Bottom,2.535,0.014914147
Ashley,7/21/2023,5,24,Neonate,Choice,Bottom,2.902,0.017073316
Ashley,7/21/2023,5,27,Neonate,Choice,Top,3.245,0.018236508
Ashley,7/21/2023,5,21,Neonate,Choice,Top,3.318,0.01864676
Ashley,7/21/2023,5,23,Neonate,Choice,Top,3.676,0.020658676
Ashley,7/21/2023,5,30,Neonate,Choice,Top,4.557,0.02560979
Ashley,7/21/2023,5,28,Neonate,Choice,Top,4.776,0.026840544
Ashley,7/21/2023,5,29,Neonate,Choice,Top,4.841,0.027205836
Sami,8/25/2019,1,5,Third,Choice,Top,2.514,0.017672269
Sami,8/25/2019,1,18,Third,Choice,Top,3.494,0.024561221
Sami,8/25/2019,1,11,Third,Choice,Top,3.851,0.027070767
Sami,8/25/2019,1,21,Third,Choice,Top,3.964,0.027865106
Sami,8/25/2019,1,2,Third,Choice,Top,4.078,0.028666474
Sami,8/25/2019,1,1,Third,Choice,Top,4.645,0.032652224
Sami,8/25/2019,1,13,Third,Choice,Top,5.026,0.03533048
Sami,8/25/2019,1,17,Third,Choice,Top,5.076,0.035681957
Sami,8/25/2019,1,14,Third,Choice,Top,4.198,0.029510019
Sami,8/25/2019,1,7,Third,Choice,Top,4.676,0.03287014
Sami,8/25/2019,1,15,Third,Choice,Top,3.252,0.022860072
Sami,8/25/2019,1,9,Third,Choice,Top,2.482,0.017447324
Sami,8/25/2019,1,10,Third,Choice,Top,3.546,0.024926757
Sami,8/25/2019,1,6,Third,Choice,Top,2.562,0.018009687
Sami,8/25/2019,1,19,Third,Choice,Top,5.145,0.036166995
Sami,8/25/2019,1,20,Third,Choice,Top,3.096,0.021763463
Sami,8/25/2019,1,12,Third,Choice,Top,2.588,0.018192455
Sami,8/25/2019,1,4,Third,Choice,Top,2.609,0.018340076
Sami,8/25/2019,1,16,Third,Choice,Top,5.103,0.035871754
Sami,8/25/2019,1,3,Third,Choice,Top,2.538,0.017840978
Sami,8/25/2019,1,8,Third,Choice,Top,2.959,0.020800416
Sami,8/31/2019,2,15,Third,Choice,Top,0,0
Sami,8/31/2019,2,1,Third,Choice,Top,2.132,0.014986984
Sami,8/31/2019,2,6,Third,Choice,Top,2.236,0.015718057
Sami,8/31/2019,2,17,Third,Choice,Top,2.564,0.018023746
Sami,8/31/2019,2,2,Third,Choice,Top,1.917,0.013475633
Sami,8/31/2019,2,10,Third,Choice,Top,3.257,0.022895219
Sami,8/31/2019,2,4,Third,Choice,Top,3.726,0.026192075
Sami,8/31/2019,2,3,Third,Choice,Top,3.731,0.026227222
Sami,8/31/2019,2,13,Third,Choice,Top,1.405,0.009876507
Sami,8/31/2019,2,14,Third,Choice,Top,1.982,0.013932553
Sami,8/31/2019,2,11,Third,Choice,Top,2.538,0.017840978
Sami,8/31/2019,2,20,Third,Choice,Top,2.225,0.015640732
Sami,8/31/2019,2,9,Third,Choice,Top,2.322,0.016322597
Sami,8/31/2019,2,12,Third,Choice,Top,0,0
Sami,8/31/2019,2,16,Third,Choice,Top,1.177,0.008273771
Sami,8/31/2019,2,7,Third,Choice,Top,0.775,0.005447895
Sami,8/31/2019,2,5,Third,Choice,Top,2.248,0.015802411
Sami,8/31/2019,2,19,Third,Choice,Top,2.514,0.017672269
Sami,8/31/2019,2,21,Third,Choice,Top,4.511,0.031710265
Sami,9/7/2019,3,15,Third,Choice,Top,0,0
Sami,9/7/2019,3,14,Third,Choice,Top,1.931,0.013574046
Sami,9/7/2019,3,3,Third,Choice,Top,1.968,0.013834139
Sami,9/7/2019,3,4,Third,Choice,Top,2.037,0.014319178
Sami,9/7/2019,3,19,Third,Choice,Top,2.226,0.015647761
Sami,9/7/2019,3,10,Third,Choice,Top,3.163,0.022234442
Sami,9/7/2019,3,9,Third,Choice,Top,3.234,0.02273354
Sami,9/7/2019,3,11,Third,Choice,Top,4.607,0.032385101
Sami,9/7/2019,3,20,Third,Choice,Top,0.816,0.005736107
Sami,9/7/2019,3,18,Third,Choice,Top,2.076,0.01459333
Sami,9/7/2019,3,12,Third,Choice,Top,2.245,0.015781322
Sami,9/7/2019,3,1,Third,Choice,Top,1.006,0.00707172
Sami,9/7/2019,3,16,Third,Choice,Top,2.137,0.015022132
Sami,9/7/2019,3,7,Third,Choice,Top,2.506,0.017616033
Sami,9/7/2019,3,8,Third,Choice,Top,4.312,0.030311386
Sami,9/7/2019,3,6,Third,Choice,Top,2.281,0.016034386
Sami,9/7/2019,3,17,Third,Choice,Top,1.837,0.012913269
Sami,9/7/2019,3,13,Third,Choice,Top,2.907,0.020434879
Sami,9/7/2019,3,21,Third,Choice,Top,1.761,0.012379024
Sami,9/7/2019,3,2,Third,Choice,Top,1.163,0.008175358
Ashley,6/29/2023,4,22,Third,Choice,Top,1.039,0.007303694
Ashley,6/29/2023,4,21,Third,Choice,Top,1.104,0.007760615
Ashley,6/29/2023,4,26,Third,Choice,Top,1.407,0.009890566
Ashley,6/29/2023,4,27,Third,Choice,Top,2.776,0.019514009
Ashley,6/29/2023,4,23,Third,Choice,Top,3.467,0.024371423
Ashley,6/29/2023,4,29,Third,Choice,Top,4.678,0.032884199
Ashley,6/29/2023,4,28,Third,Choice,Top,3.865,0.027169181
Ashley,6/29/2023,4,30,Third,Choice,Top,3.274,0.023014722
Ashley,6/29/2023,4,25,Third,Choice,Top,7.375,0.051842874
Ashley,6/29/2023,4,24,Third,Choice,Top,0.258,0.001813622
Kira,8/23/2023,5,64,Third,Choice,Top,3.482,0.024476866
Kira,8/23/2023,5,72,Third,Choice,Top,0.887,0.006235204
Kira,8/23/2023,5,74,Third,Choice,Top,2.688,0.01889541
Kira,8/23/2023,5,67,Third,Choice,Top,2.977,0.020926947
Kira,8/23/2023,5,78,Third,Choice,Top,0.6,0.004217725
Kira,8/23/2023,5,82,Third,Choice,Top,0.254,0.001785504
Kira,8/23/2023,5,75,Third,Choice,Top,0.924,0.006495297
Kira,8/23/2023,5,61,Third,Choice,Top,3.772,0.026515434
Kira,8/23/2023,5,57,Third,Choice,Top,6.498,0.045677966
Kira,8/23/2023,5,69,Third,Choice,Top,2.081,0.014628478
Kira,8/23/2023,5,83,Third,Choice,Top,0.698,0.004906621
Kira,8/23/2023,5,68,Third,Choice,Top,1.266,0.008899401
Kira,8/23/2023,5,77,Third,Choice,Top,0.497,0.003493683
Kira,8/23/2023,5,84,Third,Choice,Top,3.61,0.025376648
Kira,8/23/2023,5,65,Third,Choice,Top,1.194,0.008393274
Kira,8/23/2023,5,73,Third,Choice,Top,1.295,0.009103257
Kira,8/23/2023,5,62,Third,Choice,Top,3.11,0.021861877
Kira,8/23/2023,5,66,Third,Choice,Top,0.929,0.006530445
Kira,8/23/2023,5,76,Third,Choice,Top,0.791,0.005560368
Kira,8/23/2023,5,80,Third,Choice,Top,1.169,0.008217535
Kira,8/23/2023,5,70,Third,Choice,Top,1.517,0.010663816
Kira,8/23/2023,5,59,Third,Choice,Top,2.622,0.01843146
Kira,8/23/2023,5,81,Third,Choice,Top,2.335,0.016413981
Kira,8/23/2023,5,60,Third,Choice,Top,1.636,0.011500331
Kira,8/23/2023,5,79,Third,Choice,Top,2.177,0.015303314
Kira,8/23/2023,5,58,Third,Choice,Top,3.705,0.026044454
Kira,8/23/2023,5,63,Third,Choice,Top,2.759,0.019394507
Kira,8/23/2023,5,71,Third,Choice,Top,0.994,0.006987365
Sami,8/25/2019,1,5,Third,Choice,Bottom,0,0
Sami,8/25/2019,1,18,Third,Choice,Bottom,0,0
Sami,8/25/2019,1,11,Third,Choice,Bottom,0,0
Sami,8/25/2019,1,21,Third,Choice,Bottom,0,0
Sami,8/25/2019,1,2,Third,Choice,Bottom,0,0
Sami,8/25/2019,1,1,Third,Choice,Bottom,0,0
Sami,8/25/2019,1,13,Third,Choice,Bottom,0,0
Sami,8/25/2019,1,17,Third,Choice,Bottom,0,0
Sami,8/25/2019,1,14,Third,Choice,Bottom,0.114,0.00077554
Sami,8/25/2019,1,7,Third,Choice,Bottom,0.206,0.001401414
Sami,8/25/2019,1,15,Third,Choice,Bottom,0.211,0.001435429
Sami,8/25/2019,1,9,Third,Choice,Bottom,0.268,0.001823199
Sami,8/25/2019,1,10,Third,Choice,Bottom,0.311,0.002115728
Sami,8/25/2019,1,6,Third,Choice,Bottom,0.452,0.003074948
Sami,8/25/2019,1,19,Third,Choice,Bottom,0.494,0.003360674
Sami,8/25/2019,1,20,Third,Choice,Bottom,0.714,0.00485733
Sami,8/25/2019,1,12,Third,Choice,Bottom,1.21,0.008231609
Sami,8/25/2019,1,4,Third,Choice,Bottom,1.733,0.011789569
Sami,8/25/2019,1,16,Third,Choice,Bottom,2.039,0.013871282
Sami,8/25/2019,1,3,Third,Choice,Bottom,2.224,0.015129834
Sami,8/25/2019,1,8,Third,Choice,Bottom,2.538,0.01726597
Sami,8/31/2019,2,15,Third,Choice,Bottom,0,0
Sami,8/31/2019,2,1,Third,Choice,Bottom,0,0
Sami,8/31/2019,2,6,Third,Choice,Bottom,0,0
Sami,8/31/2019,2,17,Third,Choice,Bottom,0,0
Sami,8/31/2019,2,2,Third,Choice,Bottom,0.236,0.001605504
Sami,8/31/2019,2,10,Third,Choice,Bottom,0.284,0.001932047
Sami,8/31/2019,2,4,Third,Choice,Bottom,0.286,0.001945653
Sami,8/31/2019,2,3,Third,Choice,Bottom,0.33,0.002244984
Sami,8/31/2019,2,13,Third,Choice,Bottom,0.341,0.002319817
Sami,8/31/2019,2,14,Third,Choice,Bottom,0.763,0.005190676
Sami,8/31/2019,2,11,Third,Choice,Bottom,0.766,0.005211085
Sami,8/31/2019,2,20,Third,Choice,Bottom,1.379,0.009381313
Sami,8/31/2019,2,9,Third,Choice,Bottom,1.907,0.012973288
Sami,8/31/2019,2,12,Third,Choice,Bottom,2.041,0.013884888
Sami,8/31/2019,2,16,Third,Choice,Bottom,2.212,0.015048198
Sami,8/31/2019,2,7,Third,Choice,Bottom,2.334,0.015878162
Sami,8/31/2019,2,5,Third,Choice,Bottom,2.354,0.016014222
Sami,8/31/2019,2,19,Third,Choice,Bottom,2.925,0.019898725
Sami,8/31/2019,2,21,Third,Choice,Bottom,3.387,0.023041703
Sami,9/7/2019,3,15,Third,Choice,Bottom,0,0
Sami,9/7/2019,3,14,Third,Choice,Bottom,0,0
Sami,9/7/2019,3,3,Third,Choice,Bottom,0,0
Sami,9/7/2019,3,4,Third,Choice,Bottom,0,0
Sami,9/7/2019,3,19,Third,Choice,Bottom,0,0
Sami,9/7/2019,3,10,Third,Choice,Bottom,0,0
Sami,9/7/2019,3,9,Third,Choice,Bottom,0,0
Sami,9/7/2019,3,11,Third,Choice,Bottom,0,0
Sami,9/7/2019,3,20,Third,Choice,Bottom,0.11,0.000748328
Sami,9/7/2019,3,18,Third,Choice,Bottom,0.218,0.00148305
Sami,9/7/2019,3,12,Third,Choice,Bottom,0.342,0.00232662
Sami,9/7/2019,3,1,Third,Choice,Bottom,0.361,0.002455877
Sami,9/7/2019,3,16,Third,Choice,Bottom,0.39,0.002653163
Sami,9/7/2019,3,7,Third,Choice,Bottom,0.531,0.003612384
Sami,9/7/2019,3,8,Third,Choice,Bottom,0.752,0.005115843
Sami,9/7/2019,3,6,Third,Choice,Bottom,0.805,0.005476401
Sami,9/7/2019,3,17,Third,Choice,Bottom,1.938,0.013184181
Sami,9/7/2019,3,13,Third,Choice,Bottom,2.234,0.015197864
Sami,9/7/2019,3,21,Third,Choice,Bottom,2.386,0.016231917
Sami,9/7/2019,3,2,Third,Choice,Bottom,2.637,0.017939466
Ashley,6/29/2023,4,22,Third,Choice,Bottom,0,0
Ashley,6/29/2023,4,21,Third,Choice,Bottom,0,0
Ashley,6/29/2023,4,26,Third,Choice,Bottom,0,0
Ashley,6/29/2023,4,27,Third,Choice,Bottom,0,0
Ashley,6/29/2023,4,23,Third,Choice,Bottom,0,0
Ashley,6/29/2023,4,29,Third,Choice,Bottom,0,0
Ashley,6/29/2023,4,28,Third,Choice,Bottom,0.041,0.000278922
Ashley,6/29/2023,4,30,Third,Choice,Bottom,0.719,0.004891345
Ashley,6/29/2023,4,25,Third,Choice,Bottom,3.024,0.02057222
Ashley,6/29/2023,4,24,Third,Choice,Bottom,7.208,0.0490359
Kira,8/23/2023,5,64,Third,Choice,Bottom,0,0
Kira,8/23/2023,5,72,Third,Choice,Bottom,0.036,0.000244907
Kira,8/23/2023,5,74,Third,Choice,Bottom,0.054,0.000367361
Kira,8/23/2023,5,67,Third,Choice,Bottom,0.071,0.000483012
Kira,8/23/2023,5,78,Third,Choice,Bottom,0.077,0.00052383
Kira,8/23/2023,5,82,Third,Choice,Bottom,0.103,0.000700707
Kira,8/23/2023,5,75,Third,Choice,Bottom,0.103,0.000700707
Kira,8/23/2023,5,61,Third,Choice,Bottom,0.175,0.001190522
Kira,8/23/2023,5,57,Third,Choice,Bottom,0.205,0.001394611
Kira,8/23/2023,5,69,Third,Choice,Bottom,0.219,0.001489853
Kira,8/23/2023,5,83,Third,Choice,Bottom,0.232,0.001578292
Kira,8/23/2023,5,68,Third,Choice,Bottom,0.236,0.001605504
Kira,8/23/2023,5,77,Third,Choice,Bottom,0.239,0.001625913
Kira,8/23/2023,5,84,Third,Choice,Bottom,0.313,0.002129334
Kira,8/23/2023,5,65,Third,Choice,Bottom,0.387,0.002632754
Kira,8/23/2023,5,73,Third,Choice,Bottom,0.452,0.003074948
Kira,8/23/2023,5,62,Third,Choice,Bottom,0.503,0.0034219
Kira,8/23/2023,5,66,Third,Choice,Bottom,0.512,0.003483127
Kira,8/23/2023,5,76,Third,Choice,Bottom,0.526,0.003578369
Kira,8/23/2023,5,80,Third,Choice,Bottom,0.564,0.003836882
Kira,8/23/2023,5,70,Third,Choice,Bottom,0.605,0.004115805
Kira,8/23/2023,5,59,Third,Choice,Bottom,0.892,0.006068261
Kira,8/23/2023,5,81,Third,Choice,Bottom,1.172,0.007973096
Kira,8/23/2023,5,60,Third,Choice,Bottom,1.248,0.008490123
Kira,8/23/2023,5,79,Third,Choice,Bottom,1.258,0.008558152
Kira,8/23/2023,5,58,Third,Choice,Bottom,1.345,0.009150012
Kira,8/23/2023,5,63,Third,Choice,Bottom,1.598,0.010871167
Kira,8/23/2023,5,71,Third,Choice,Bottom,1.718,0.011687525
