DataCollector,Date,Trial,ID,Treatment,Instar Before,MassChange,BiomassConsumed
Kevin,,1,20,Old,Neo,0.0042,0.01072959
Kevin,,1,5,New,Neo,0.0078,0.009259491
Kevin,,1,18,Old,Neo,0.0037,0.009180142
Kevin,,1,12,New,Neo,0.0106,0.008430048
Kevin,,1,17,New,Neo,0.0023,0.00713689
Kevin,,1,8,New,Neo,0.0036,0.007068419
Kevin,,1,4,New,Neo,0.0074,0.006548053
Kevin,,1,11,New,Neo,0.0039,0.006493311
Kevin,,1,21,New,Neo,0.0063,0.006444175
Kevin,,1,6,New,Neo,0.0052,0.005773671
Kevin,,1,20,New,Neo,0.0047,0.005695303
Kevin,,1,19,New,Neo,0.0042,0.005634858
Kevin,,1,19,Old,Neo,0.0112,0.00479976
Kevin,,1,13,Old,Neo,0.0031,0.004778162
Kevin,,1,8,Old,Neo,0.0041,0.004584462
Kevin,,1,6,Old,Neo,0.0062,0.00447554
Kevin,,1,21,Old,Neo,0.0068,0.004173184
Kevin,,1,5,Old,Neo,0.0021,0.004042326
Kevin,,1,11,Old,Neo,0.0015,0.003927187
Kevin,,1,3,New,Neo,0.005,0.003888214
Kevin,,1,1,New,Neo,0.0061,0.003771632
Kevin,,1,12,Old,Neo,0.0024,0.003481717
Kevin,,1,3,Old,Neo,0.0039,0.003419413
Kevin,,1,2,New,Neo,0.0074,0.003305741
Kevin,,1,17,Old,Neo,0.0032,0.003193501
Kevin,,1,10,New,Neo,0.0033,0.003064428
Kevin,,1,16,Old,Neo,0.0029,0.002861138
Kevin,,1,18,New,Neo,0.0108,0.002848387
Kevin,,1,9,New,Neo,0.0158,0.002848029
Kevin,,1,7,New,Neo,0.0059,0.002665217
Kevin,,1,16,New,Neo,0.0034,0.002622774
Kevin,,1,15,New,Neo,0.0034,0.002470919
Kevin,,1,7,Old,Neo,0.0059,0.002361461
Kevin,,1,14,New,Neo,0.003,0.002318534
Kevin,,1,15,Old,Neo,0.0019,0.001973882
Kevin,,1,14,Old,Neo,0.0021,0.001683652
Kevin,,1,10,Old,Neo,0.0035,0.001601121
Kevin,,1,13,New,Neo,0.0082,0.001495433
Kevin,,1,1,Old,Neo,0.0081,0.00140879
Kevin,,1,4,Old,Neo,0.0065,0.001245114
Kevin,,1,2,Old,Neo,0.0019,0.000931355
Kevin,,1,9,Old,Neo,0.0049,0.000649484
Kevin,,2,4,New,Neo,0.0067,0.005327176
Kevin,,2,8,New,Neo,0.0059,0.004407173
Kevin,,2,9,Old,Neo,0.0029,0.004396274
Kevin,,2,4,Old,Neo,0.0021,0.004008278
Kevin,,2,10,New,Neo,0.003,0.003476136
Kevin,,2,1,Old,Neo,0.0066,0.002755307
Kevin,,2,8,Old,Neo,0.0015,0.002680166
Kevin,,2,2,Old,Neo,0.0043,0.00267072
Kevin,,2,7,New,Neo,0.0061,0.002478991
Kevin,,2,5,Old,Neo,0.0042,0.002376344
Kevin,,2,1,New,Neo,0.0052,0.002254089
Kevin,,2,6,Old,Neo,0.00332,0.002224955
Kevin,,2,10,Old,Neo,0.0076,0.002123127
Kevin,,2,6,New,Neo,0.0046,0.001969632
Kevin,,2,2,New,Neo,0.005,0.001853182
Kevin,,2,5,New,Neo,0.0049,0.001684824
Kevin,,2,3,New,Neo,0.0076,0.001639196
Kevin,,2,7,Old,Neo,0.003,0.001617019
Kevin,,2,3,Old,Neo,0.0062,0.001491875
Kevin,,2,9,New,Neo,0.0061,0.001069206
Kevin,,3,20,Old,Neo,0.0022,0.013043122
Kevin,,3,19,Old,Neo,0.0023,0.010724023
Kevin,,3,25,Old,Neo,0.0034,0.010544681
Kevin,,3,11,Old,Neo,0.003,0.005383453
Kevin,,3,10,Old,Neo,0.006,0.004421264
Kevin,,3,13,New,Neo,0.0065,0.004245062
Kevin,,3,2,New,Neo,0.0058,0.004017255
Kevin,,3,4,New,Neo,0,0.003969745
Kevin,,3,9,New,Neo,0.0019,0.002891855
Kevin,,3,12,New,Neo,0.0071,0.002655178
Kevin,,3,24,New,Neo,0.0021,0.002641531
Kevin,,3,5,Old,Neo,0.0007,0.00259853
Kevin,,3,8,Old,Neo,0.0004,0.002474599
Kevin,,3,18,New,Neo,0.0049,0.002436483
Kevin,,3,22,New,Neo,0,0.002428647
Kevin,,3,16,New,Neo,0,0.002225513
Kevin,,3,17,Old,Neo,0.0032,0.002220984
Kevin,,3,17,New,Neo,0.0084,0.001933887
Kevin,,3,21,New,Neo,0,0.001880612
Kevin,,3,6,New,Neo,0.0078,0.001816261
Kevin,,3,13,Old,Neo,0.0045,0.001790141
Kevin,,3,18,Old,Neo,0.0047,0.001715302
Kevin,,3,2,Old,Neo,0.003,0.001608729
Kevin,,3,16,Old,Neo,0.0053,0.001602247
Kevin,,3,14,Old,Neo,0.0032,0.001536653
Kevin,,3,1,Old,Neo,0.0023,0.001489977
Kevin,,3,23,New,Neo,0.0054,0.001370413
Kevin,,3,15,Old,Neo,0.0079,0.001031477
Kevin,,3,5,New,Neo,0.01,0.001010255
Kevin,,3,7,New,Neo,0.0036,0.000847553
Kevin,,3,6,Old,Neo,0.0032,0.000700911
Kevin,,3,3,New,Neo,0.01,0.000623211
Kevin,,3,3,Old,Neo,0.003,0.000542607
Kevin,,3,25,New,Neo,0.004,0.000441313
Kevin,,3,20,New,Neo,0.0073,0.000300483
Kevin,,3,15,New,Neo,0.0026,0.000110661
Kevin,,3,8,New,Neo,0.0048,0
Kevin,,3,4,Old,Neo,0.0046,0
Kevin,,3,7,Old,Neo,0.0036,0
Kevin,,4,12,New,Neo,0.0028,0.014069152
Kevin,,4,16,Old,Neo,0.0017,0.006988323
Kevin,,4,2,New,Neo,0.0033,0.006347235
Kevin,,4,6,Old,Neo,0.0056,0.006252413
Kevin,,4,1,New,Neo,0.0043,0.005862371
Kevin,,4,5,Old,Neo,0.0026,0.005827952
Kevin,,4,11,Old,Neo,0.0037,0.005381331
Kevin,,4,10,New,Neo,0.0064,0.004737604
Kevin,,4,13,New,Neo,0.0056,0.004335232
Kevin,,4,15,Old,Neo,0.002,0.00414171
Kevin,,4,9,New,Neo,0.0086,0.00391976
Kevin,,4,7,New,Neo,0.0026,0.003530438
Kevin,,4,19,New,Neo,0.0019,0.003075616
Kevin,,4,4,New,Neo,0.0029,0.002870777
Kevin,,4,21,New,Neo,0.003,0.002737531
Kevin,,4,14,New,Neo,0.0052,0.002520018
Kevin,,4,8,Old,Neo,0.0036,0.002024709
Kevin,,4,19,Old,Neo,0.0019,0.001580311
Kevin,,4,2,Old,Neo,0.0023,0.001480965
Kevin,,4,18,New,Neo,0.004,0.00134703
Kevin,,4,5,New,Neo,0.0069,0.001275576
Kevin,,4,20,Old,Neo,0.0012,0.000802308
Kevin,,4,21,Old,Neo,0.0007,0.000648117
Kevin,,4,18,Old,Neo,0.0008,0.000239444
Kevin,,4,13,Old,Neo,0.0034,0.000224377
Kevin,,4,3,New,Neo,0.0087,0
Kevin,,4,6,New,Neo,0.0078,0
Kevin,,4,8,New,Neo,0.0035,0
Kevin,,4,11,New,Neo,0.0061,0
Kevin,,4,15,New,Neo,0.007,0
Kevin,,4,16,New,Neo,0.0047,0
Kevin,,4,17,New,Neo,0.0117,0
Kevin,,4,20,New,Neo,0.0046,0
Kevin,,4,1,Old,Neo,0.0064,0
Kevin,,4,3,Old,Neo,0.0024,0
Kevin,,4,4,Old,Neo,0.0019,0
Kevin,,4,7,Old,Neo,0.0005,0
Kevin,,4,9,Old,Neo,0.0032,0
Kevin,,4,10,Old,Neo,0.0027,0
Kevin,,4,12,Old,Neo,0.0075,0
Kevin,,4,14,Old,Neo,0.003,0
Kevin,,4,17,Old,Neo,0.0022,0
Ashley ,7/26/2023,6,1,New,Neo,0.0019,0.001809709
Ashley ,7/26/2023,6,4,New,Neo,0.0024,0.001053926
Ashley ,7/26/2023,6,5,New,Neo,0.0022,0.000947868
Ashley ,7/26/2023,6,6,New,Neo,0.0016,0.000744394
Ashley ,7/26/2023,6,3,New,Neo,0.0015,0.000721801
Ashley ,7/26/2023,6,16,Old,Neo,0.001,0.000581006
Ashley ,7/26/2023,6,11,Old,Neo,0.0009,0.000566659
Ashley ,7/26/2023,6,13,Old,Neo,0.0016,0.000559066
Ashley ,7/26/2023,6,17,Old,Neo,0.0011,0.00054588
Ashley ,7/26/2023,6,2,New,Neo,0.0015,0.000449243
Ashley ,7/26/2023,6,7,New,Neo,0.0017,0.000427424
Ashley ,7/26/2023,6,12,Old,Neo,0.0009,0.00030047
Ashley ,7/26/2023,6,8,New,Neo,0.0017,0.000298227
Ashley ,7/26/2023,6,18,Old,Neo,0.0006,0.000251813
Ashley ,7/26/2023,6,15,Old,Neo,0.0013,0.000222332
Ashley ,7/26/2023,6,14,Old,Neo,0.0015,0.000188321
